HEADER,FRU Name,FRU Version,LossDate,LossVersion,NumSegments
HDRDATA,CHM6,P1B3,10-15-2020,0.1.5,1
SEGHEADER,No of Records
SEGDATA,256
RECHEADER,Link ID,mdB,Souce,Destination
DATA,225,3347,BMZ_BCM2_Port_TX_4,BMZ_QSFPDD_P9_TX_5
DATA,226,3371,BMZ_BCM2_Port_TX_7,BMZ_QSFPDD_P9_TX_8
DATA,227,2949,BMZ_BCM2_Port_TX_6,BMZ_QSFPDD_P9_TX_7
DATA,228,4853,BMZ_BCM2_Port_TX_13,BMZ_QSFPDD_P9_TX_2
DATA,229,4032,BMZ_BCM2_Port_TX_12,BMZ_QSFPDD_P9_TX_1
DATA,230,5513,BMZ_BCM2_Port_TX_15,BMZ_QSFPDD_P9_TX_4
DATA,231,4373,BMZ_BCM2_Port_TX_14,BMZ_QSFPDD_P9_TX_3
DATA,232,3368,BMZ_QSFPDD_P9_RX_6,BMZ_BCM2_Port_RX_5
DATA,233,3339,BMZ_QSFPDD_P9_RX_5,BMZ_BCM2_Port_RX_4
DATA,234,3790,BMZ_QSFPDD_P9_RX_8,BMZ_BCM2_Port_RX_7
DATA,235,3653,BMZ_QSFPDD_P9_RX_7,BMZ_BCM2_Port_RX_6
DATA,236,4108,BMZ_QSFPDD_P9_RX_2,BMZ_BCM2_Port_RX_13
DATA,237,5997,BMZ_QSFPDD_P9_RX_1,BMZ_BCM2_Port_RX_12
DATA,238,4922,BMZ_QSFPDD_P9_RX_4,BMZ_BCM2_Port_RX_15
DATA,239,4918,BMZ_QSFPDD_P9_RX_3,BMZ_BCM2_Port_RX_14
DATA,240,3126,BMZ_BCM1_Port_TX_4,BMZ_QSFPDD_P16_TX_5
DATA,241,3265,BMZ_BCM1_Port_TX_5,BMZ_QSFPDD_P16_TX_6
DATA,242,3027,BMZ_BCM1_Port_TX_6,BMZ_QSFPDD_P16_TX_7
DATA,243,3660,BMZ_BCM1_Port_TX_7,BMZ_QSFPDD_P16_TX_8
DATA,244,3354,BMZ_BCM1_Port_TX_12,BMZ_QSFPDD_P16_TX_1
DATA,245,2927,BMZ_BCM1_Port_TX_13,BMZ_QSFPDD_P16_TX_2
DATA,246,3089,BMZ_BCM1_Port_TX_14,BMZ_QSFPDD_P16_TX_3
DATA,247,4677,BMZ_BCM1_Port_TX_15,BMZ_QSFPDD_P16_TX_4
DATA,248,5027,BMZ_QSFPDD_P16_RX_5,BMZ_BCM1_Port_RX_4
DATA,249,4244,BMZ_QSFPDD_P16_RX_6,BMZ_BCM1_Port_RX_5
DATA,250,4411,BMZ_QSFPDD_P16_RX_7,BMZ_BCM1_Port_RX_6
DATA,251,3971,BMZ_QSFPDD_P16_RX_8,BMZ_BCM1_Port_RX_7
DATA,252,4153,BMZ_QSFPDD_P16_RX_1,BMZ_BCM1_Port_RX_12
DATA,253,3699,BMZ_QSFPDD_P16_RX_2,BMZ_BCM1_Port_RX_13
DATA,254,4243,BMZ_QSFPDD_P16_RX_3,BMZ_BCM1_Port_RX_14
DATA,255,3338,BMZ_QSFPDD_P16_RX_4,BMZ_BCM1_Port_RX_15
